Index,Date,Open,High,Low,Close,Volume
Nifty Bank,2022-12-07,43157.35,43327.35,42948.45,43098.70,0
Nifty Bank,2022-12-08,43142.25,43640.90,43095.30,43596.85,0
Nifty Bank,2022-12-09,43765.30,43853.40,43361.70,43633.45,0
Nifty Bank,2022-12-12,43455.85,43767.05,43378.80,43708.75,0
Nifty Bank,2022-12-13,43793.70,43983.80,43767.75,43946.55,0
Nifty Bank,2022-12-14,44078.60,44151.80,43987.95,44049.10,0
Nifty Bank,2022-12-15,43940.10,44120.60,43379.10,43498.20,0
Nifty Bank,2022-12-16,43261.75,43598.20,43080.55,43219.50,0
Nifty Bank,2022-12-19,43346.35,43451.45,43110.30,43413.75,0
Nifty Bank,2022-12-20,43152.65,43426.20,42955.40,43359.50,0
Nifty Bank,2022-12-21,43525.75,43614.65,42363.80,42617.95,0
Nifty Bank,2022-12-22,42864.00,42933.50,42231.35,42408.80,0
Nifty Bank,2022-12-23,41951.35,42226.65,41597.65,41668.05,0
Nifty Bank,2022-12-26,41716.35,42846.15,41569.45,42630.15,0
Nifty Bank,2022-12-27,42827.75,42927.20,42394.15,42859.50,0
Nifty Bank,2022-12-28,42733.60,43034.95,42694.85,42827.70,0
Nifty Bank,2022-12-29,42684.90,43498.05,42489.80,43252.35,0
Nifty Bank,2022-12-30,43401.70,43422.95,42833.10,42986.45,0
Nifty Energy,2020-01-01,15936.40,16009.65,15910.15,15987.80,0
Nifty Energy,2020-01-02,16007.55,16146.80,15981.25,16128.50,0
Nifty Energy,2020-01-03,16114.30,16169.55,16013.90,16054.80,0
Nifty Energy,2020-01-06,15936.05,15968.30,15690.25,15737.05,0
Nifty Energy,2020-01-07,15819.25,15948.65,15753.95,15793.75,0
Nifty Energy,2020-01-08,15630.25,15760.50,15581.60,15664.95,0
Nifty Energy,2020-01-09,15897.35,15921.15,15820.90,15900.35,0
Nifty Energy,2020-01-10,15972.65,16037.70,15872.55,15940.15,0
Nifty Energy,2020-01-13,15951.75,16090.60,15951.75,16043.35,0
Nifty Energy,2020-01-14,16062.25,16152.75,15994.85,16053.25,0
Nifty Energy,2020-01-15,16067.65,16075.40,15941.10,16019.00,0
Nifty Energy,2020-01-16,16045.20,16076.75,15955.15,15974.40,0
Nifty Energy,2020-01-17,15997.70,16101.35,15944.75,16077.65,0
Nifty Energy,2020-01-20,16196.35,16196.35,15833.20,15854.85,0
Nifty Energy,2020-01-21,15843.05,15908.60,15762.75,15776.95,0
